Савёловская | Савёловская | x=846.0953 | y=347.8442 | align=left | imp=3 | w=96.0000 | h=18.0000 | rect=846.0953,338.8442,942.0953,356.8442 | zone=398.1067 | anchor=852.1248,376.2105 | ids=9/savelovskaya+97/savelovskaya
Площадь Гагарина | Площадь⏎Гагарина | x=859.0005 | y=1161.3713 | align=right | imp=3 | w=70.3200 | h=37.9200 | rect=788.6805,1142.4113,859.0005,1180.3313 | zone=399.4342 | anchor=881.8391,1151.2029 | ids=6/leninskiy-prospekt+95/ploshchad-gagarina
Крымская | Крымская | x=1005.3715 | y=1132.1464 | align=left | imp=3 | w=79.4400 | h=18.0000 | rect=1005.3715,1123.1464,1084.8115,1141.1464 | zone=408.4482 | anchor=1008.8209,1164.9656 | ids=137/krymskaya+95/krymskaya
Сокольники | Сокольники | x=1196.1312 | y=465.1437 | align=left | imp=3 | w=87.4400 | h=18.0000 | rect=1196.1312,456.1437,1283.5712,474.1437 | zone=411.7836 | anchor=1211.0786,433.1884 | ids=1/sokolniki+97/sokolniki
Деловой центр | Деловой⏎центр | x=547.5751 | y=716.2108 | align=left | imp=3 | w=61.7600 | h=37.9200 | rect=547.5751,697.2508,609.3351,735.1708 | zone=412.3055 | anchor=557.7627,668.2815 | ids=133/delovoy-tsentr+4/delovoy-tsentr
Академическая | Академическая | x=882.0939 | y=1201.6233 | align=left | imp=3 | w=117.6800 | h=18.0000 | rect=882.0939,1192.6233,999.7739,1210.6233 | zone=427.9610 | anchor=886.4600,1181.0822 | ids=137/akademicheskaya+6/akademicheskaya
Петровский парк | Петровский парк | x=669.4443 | y=374.4017 | align=left | imp=3 | w=126.4800 | h=18.0000 | rect=669.4443,365.4017,795.9243,383.4017 | zone=444.3062 | anchor=691.7801,405.1444 | ids=2/dinamo+97/petrovskiy-park
Кутузовская | Кутузовская | x=508.3321 | y=822.4565 | align=left | imp=3 | w=96.0000 | h=18.0000 | rect=508.3321,813.4565,604.3321,831.4565 | zone=454.7694 | anchor=514.3616,850.8227 | ids=4/kutuzovskaya+95/kutuzovskaya
Электрозаводская | Электрозаводская | x=1232.0831 | y=402.9764 | align=left | imp=3 | w=138.8000 | h=18.0000 | rect=1232.0831,393.9764,1370.8831,411.9764 | zone=467.2694 | anchor=1320.9512,462.8929 | ids=3/elektrozavodskaya+97/elektrozavodskaya
Авиамоторная | Авиамоторная | x=1380.0693 | y=613.9437 | align=left | imp=3 | w=109.1200 | h=18.0000 | rect=1380.0693,604.9437,1489.1893,622.9437 | zone=506.2330 | anchor=1419.0693,546.3937 | ids=8/aviamotornaya+97/aviamotornaya
Парк Победы | Парк⏎Победы | x=483.4921 | y=938.7955 | align=left | imp=3 | w=57.7600 | h=37.9200 | rect=483.4921,919.8355,541.2521,957.7555 | zone=512.0064 | anchor=470.0698,908.6485 | ids=133/park-pobedy+3/park-pobedy
Москва-Сити | Москва-Сити | x=480.0032 | y=564.5236 | align=left | imp=3 | w=96.8000 | h=18.0000 | rect=480.0032,555.5236,576.8032,573.5236 | zone=514.1428 | anchor=474.8054,588.9773 | ids=4/moskva-siti+95/moskva-siti
Хорошёвская | Хорошёвская | x=484.0012 | y=471.5222 | align=right | imp=3 | w=100.5600 | h=18.0000 | rect=383.4412,462.5222,484.0012,480.5222 | zone=524.1991 | anchor=517.2582,478.5912 | ids=7/polezhaevskaya+97/khoroshevskaya
Петровско-Разумовская | Петровско-Разумовская | x=976.1175 | y=209.1696 | align=right | imp=3 | w=184.2400 | h=18.0000 | rect=791.8775,200.1696,976.1175,218.1696 | zone=530.1952 | anchor=905.7393,232.0368 | ids=10/petrovsko-razumovskaya+9/petrovsko-razumovskaya
Каховская | Каховская | x=1098.1124 | y=1326.8958 | align=right | imp=3 | w=78.8800 | h=18.0000 | rect=1019.2324,1317.8958,1098.1124,1335.8958 | zone=560.2580 | anchor=1095.6038,1303.0273 | ids=9/sevastopolskaya+97/kakhovskaya
Воронцовская | Воронцовская | x=875.9602 | y=1346.6637 | align=right | imp=3 | w=104.5600 | h=18.0000 | rect=771.4002,1337.6637,875.9602,1355.6637 | zone=564.4711 | anchor=875.9602,1317.6637 | ids=6/kaluzhskaya+97/vorontsovskaya
Новаторская | Новаторская | x=738.5712 | y=1244.7836 | align=right | imp=3 | w=96.0000 | h=18.0000 | rect=642.5712,1235.7836,738.5712,1253.7836 | zone=574.7672 | anchor=700.5474,1272.4095 | ids=137/novatorskaya+97/novatorskaya
Нижегородская | Нижегородская | x=1544.4485 | y=622.8187 | align=left | imp=3 | w=117.6800 | h=18.0000 | rect=1544.4485,613.8187,1662.1285,631.8187 | zone=576.5410 | anchor=1520.5800,625.3274 | ids=95/nizhegorodskaya+97/nizhegorodskaya+98/nizhegorodskaya
Каширская | Каширская | x=1262.5838 | y=1231.9165 | align=right | imp=3 | w=83.4400 | h=18.0000 | rect=1179.1438,1222.9165,1262.5838,1240.9165 | zone=577.5298 | anchor=1245.5838,1261.3613 | ids=2/kashirskaya+97/kashirskaya
Окружная | Окружная | x=833.4871 | y=145.5615 | align=left | imp=3 | w=74.8800 | h=18.0000 | rect=833.4871,136.5615,908.3671,154.5615 | zone=592.3114 | anchor=847.4157,177.9222 | ids=10/okruzhnaya+95/okruzhnaya
Черкизовская | Черкизовская | x=1315.9306 | y=231.0728 | align=left | imp=3 | w=104.5600 | h=18.0000 | rect=1315.9306,222.0728,1420.4906,240.0728 | zone=609.0641 | anchor=1312.7849,263.0728 | ids=1/cherkizovskaya+95/lokomotiv
